735481,20130905,    10,  1,  49,     3, -1,  27
735484,20130908,     6,  1,  24,     7, -1,  21
735484,20130908,    29, -1,  12,     5,  1,   7
735484,20130908,    16, -1,  28,    15,  1,   2
735484,20130908,    25,  1,  18,    30, -1,  17
735484,20130908,    14,  1,  21,    19, -1,  17
735484,20130908,    23,  1,  23,     2, -1,  17
735484,20130908,    11,  1,  34,    21, -1,  24
735484,20130908,    31, -1,  16,    27,  1,   9
735484,20130908,    20, -1,  23,     8,  1,  10
735484,20130908,    22, -1,  23,     4,  1,  21
735484,20130908,    18,  1,  27,     1, -1,  24
735484,20130908,    28,  1,  34,    12, -1,  28
735484,20130908,     9,  1,  36,    24, -1,  31
735485,20130909,    26, -1,  33,    32,  1,  27
735485,20130909,    13, -1,  31,    17,  1,  28
735488,20130912,    22,  1,  13,    25, -1,  10
735491,20130915,     2,  1,  31,    18, -1,  24
735491,20130915,    20, -1,  24,    14,  1,  20
735491,20130915,    16,  1,  17,     9, -1,  16
735491,20130915,     6,  1,  31,    21, -1,  30
735491,20130915,     4,  1,  24,     5, -1,  23
735491,20130915,     3,  1,  14,     8, -1,   6
735491,20130915,    12,  1,  38,    32, -1,  20
735491,20130915,    17, -1,  33,    26,  1,  30
735491,20130915,    13,  1,  30,    31, -1,  24
735491,20130915,    23, -1,  16,    30,  1,  14
735491,20130915,     1,  1,  25,    11, -1,  21
735491,20130915,    10, -1,  41,    24,  1,  23
735491,20130915,    19,  1,  19,    15, -1,   9
735491,20130915,    29,  1,  29,    28, -1,   3
735492,20130916,     7,  1,  20,    27, -1,  10
735495,20130919,    16, -1,  26,    26,  1,  16
735498,20130922,     3,  1,  30,    13, -1,   9
735498,20130922,     8, -1,  31,    21,  1,  27
735498,20130922,    23,  1,  31,     1, -1,   7
735498,20130922,     9,  1,  31,    18, -1,   7
735498,20130922,    31,  1,  20,    17, -1,  17
735498,20130922,     7,  1,  34,    12, -1,  30
735498,20130922,    11, -1,  27,    32,  1,  20
735498,20130922,    22,  1,  23,    30, -1,   3
735498,20130922,     5,  1,  38,    24, -1,   0
735498,20130922,    20,  1,  27,     2, -1,  23
735498,20130922,    14, -1,  27,    28,  1,   7
735498,20130922,    25,  1,  27,     4, -1,  20
735498,20130922,    29,  1,  45,    15, -1,  17
735498,20130922,     6, -1,  40,    27,  1,  23
735499,20130923,    10,  1,  37,    19, -1,  21
735502,20130926,    28, -1,  35,    18,  1,  11
735505,20130929,     4,  1,  23,     3, -1,  20
735505,20130929,     8,  1,  17,     7, -1,   6
735505,20130929,    29, -1,  23,    13,  1,  20
735505,20130929,    11,  1,  40,     6, -1,  32
735505,20130929,    14, -1,  37,    15,  1,   3
735505,20130929,    16,  1,  31,    24, -1,   7
735505,20130929,    21,  0,  34,    27,  0,  27
735505,20130929,     1, -1,  13,    30,  1,  10
735505,20130929,    31,  1,  38,    25, -1,  13
735505,20130929,    17,  1,  30,     9, -1,  21
735505,20130929,    10,  1,  52,    26, -1,  20
735505,20130929,    32, -1,  24,    19,  1,  14
735505,20130929,    22, -1,  30,     2,  1,  23
735506,20130930,    23,  1,  38,    20, -1,  17
735509,20131003,     8,  1,  37,     4, -1,  24
735512,20131006,    12,  1,  22,    11, -1,   9
735512,20131006,    18,  1,  34,    15, -1,  20
735512,20131006,     7,  1,  13,    22, -1,   6
